OUName,OUPath
LKCorp,"DC=LKKORP,DC=local"
Accounts,"OU=LKCorp,DC=LKKORP,DC=local"
Computers,"OU=LKCorp,DC=LKKORP,DC=local"
Groups,"OU=LKCorp,DC=LKKORP,DC=local"
Admins,"OU=Accounts,OU=LKCorp,DC=LKKORP,DC=local"
Service Accounts,"OU=Accounts,OU=LKCorp,DC=LKKORP,DC=local"
Users,"OU=Accounts,OU=LKCorp,DC=LKKORP,DC=local"
Servers,"OU=Computers,OU=LKCorp,DC=LKKORP,DC=local"
VM,"OU=Servers,OU=Computers,OU=LKCorp,DC=LKKORP,DC=local"
Workstations,"OU=Computers,OU=LKCorp,DC=LKKORP,DC=local"
Security Groups,"OU=Groups,OU=LKCorp,DC=LKKORP,DC=local"
